Model type,test_examples,batch size,epoch,early stop epoch,test accuracy,test_cross_entropy,test_correct,val accuracy,val_cross_entropy,val_correct,train_cross_entropy,learning_rate
"
"
---,---,---,---,---,---,---,---,---,---,---,---,---,---
"
"
1,2500,32,500,50,0.056,4.979434655262874,140,0.052421052631578945,4.9458905683981405,249,8.59553302164828,3e-05
1,2500,32,500,50,0.0968,4.184566794297634,242,0.09347368421052632,4.167233918164228,444,4.423659355006414,3e-05
1,2500,32,500,50,0.122,3.9669883709687452,305,0.1231578947368421,3.9403046756177336,585,3.9219887749532636,3e-05
1,2500,32,500,50,0.154,3.7947445649367113,385,0.156,3.7844065170030334,741,3.603708213634705,3e-05
1,2500,32,500,50,0.1744,3.6927361366076346,436,0.17221052631578948,3.684704242525874,818,3.3123837587092253,3e-05
1,2500,32,500,50,0.192,3.626322037134415,480,0.1928421052631579,3.612762441506257,916,3.024525371472934,3e-05
1,2500,32,500,50,0.2052,3.6020290148563876,513,0.20694736842105263,3.5781194889867627,983,2.7394770076658843,3e-05
1,2500,32,500,50,0.2172,3.6121558990233984,543,0.22252631578947368,3.5797396286113843,1057,2.460113170263026,3e-05
1,2500,32,500,50,0.2248,3.6509707677058683,562,0.22673684210526315,3.6104540293281144,1077,2.1844850633028297,3e-05
1,2500,32,500,50,0.2284,3.7043724090625076,571,0.23242105263157894,3.662049606039717,1104,1.9214423636818647,3e-05
1,2500,32,500,50,0.2316,3.802863527566959,579,0.2326315789473684,3.7353120703954956,1105,1.6729319542534788,3e-05
1,2500,32,500,50,0.2312,3.932250038171426,578,0.236,3.8517008665445687,1121,1.4406129440564788,3e-05
1,2500,32,500,50,0.2268,4.081208525559841,567,0.2334736842105263,3.997559120526185,1109,1.2243053999286466,3e-05
1,2500,32,500,50,0.224,4.241973760800484,560,0.2374736842105263,4.148177647912824,1128,1.0280882110756435,3e-05
1,2500,32,500,50,0.2204,4.431369216014177,551,0.2336842105263158,4.326571353383966,1110,0.8521514262822684,3e-05
1,2500,32,500,50,0.222,4.6254784388419905,555,0.2336842105263158,4.52357943637951,1110,0.6967986831281069,3e-05
1,2500,32,500,50,0.2212,4.821899080887819,553,0.2326315789473684,4.741210969718727,1105,0.5656307690654802,3e-05
1,2500,32,500,50,0.224,5.030702315844023,560,0.23242105263157894,4.943493179372839,1104,0.44996536697229644,3e-05
1,2500,32,500,50,0.2208,5.293903769590916,552,0.23010526315789473,5.17539974805471,1093,0.364270981348186,3e-05
1,2500,32,500,50,0.2232,5.510048915178348,558,0.22778947368421051,5.412561274863578,1082,0.2870020726284061,3e-05
1,2500,32,500,50,0.2184,5.80626857586396,546,0.2231578947368421,5.677362335694803,1060,0.22692404172003047,3e-05
1,2500,32,500,50,0.2144,6.116929567777193,536,0.22147368421052632,5.9819306151286975,1052,0.18886022621326232,3e-05
1,2500,32,500,50,0.2228,6.189620485672584,557,0.2286315789473684,6.027681569795351,1086,0.15262485463521008,3e-05
1,2500,32,500,50,0.2196,6.294777686779316,549,0.22778947368421051,6.155862118746783,1082,0.12312381768159653,3e-05
1,2500,32,500,50,0.2208,6.4046048904076605,552,0.22694736842105262,6.326226595285776,1078,0.10404023519727622,3e-05
